,performer,song_performer,song,track_duration_s,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,rank,last_week,peak_rank,weeks_on_board,key_signature,year,top_hit_pos
1298,Green Day,Boulevard Of Broken Dreams | Green Day,Boulevard Of Broken Dreams,262.333,0.496,0.682,G#,-4.095,major,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,4.0,45,41.0,2,36,G# major,2005,0.0
1299,Jackson Browne,Boulevard | Jackson Browne,Boulevard,200.8,0.541,0.855,A,-7.058,major,0.0625,0.339,1.8e-06,0.0821,0.82,141.142,4.0,90,80.0,19,16,A major,1980,0.0
1300,Juicy J Featuring Wale & Trey Songz,Bounce It | Juicy J Featuring Wale & Trey Songz,Bounce It,260.56,0.785,0.572,B,-9.383,major,0.0859,0.00811,0.0,0.111,0.477,140.032,4.0,93,81.0,74,19,B major,2014,0.0
1301,Mystikal,Bouncin' Back (Bumpin' Me Against The Wall) | Mystikal,Bouncin' Back (Bumpin' Me Against The Wall),259.546,0.883,0.896,C,-3.695,major,0.208,0.268,1.04e-06,0.0564,0.748,93.928,4.0,96,90.0,37,20,C major,2002,0.0
1302,A*Teens,Bouncing Off The Ceiling (Upside Down) | A*Teens,Bouncing Off The Ceiling (Upside Down),193.091,0.708,0.608,A,-8.885,major,0.0395,0.188,0.0024,0.254,0.897,121.997,4.0,100,93.0,93,3,A major,2001,0.0
1303,Mike Posner Featuring Lil Wayne,Bow Chicka Wow Wow | Mike Posner Featuring Lil Wayne,Bow Chicka Wow Wow,223.253,0.626,0.67,G,-5.381,major,0.0534,0.318,0.0,0.0429,0.523,73.422,4.0,93,82.0,30,16,G major,2011,0.0
1304,Funkdoobiest,Bow Wow Wow | Funkdoobiest,Bow Wow Wow,254.0,0.899,0.525,B,-11.498,major,0.141,0.023,0.688,0.108,0.696,102.962,4.0,100,94.0,89,5,B major,1993,0.0
1305,The Everly Brothers,Bowling Green | The Everly Brothers,Bowling Green,166.946,0.544,0.554,G,-11.789,major,0.037,0.695,0.000639,0.388,0.633,123.523,4.0,40,40.0,40,8,G major,1967,0.0
1306,Cyndi Lauper,Boy Blue | Cyndi Lauper,Boy Blue,286.666,0.757,0.604,C,-13.324,major,0.0292,0.0986,0.0431,0.085,0.916,119.856,4.0,89,74.0,71,4,C major,1987,0.0
1307,The Manhattan Transfer,Boy From New York City | The Manhattan Transfer,Boy From New York City,222.16,0.71,0.633,D,-9.376,major,0.0531,0.457,1.5e-05,0.0967,0.702,151.522,4.0,93,69.0,7,21,D major,1981,0.0
1308,Tia,Boy Toy | Tia,Boy Toy,249.213,0.729,0.761,F,-9.108,minor,0.0375,0.0201,3.28e-05,0.0731,0.918,120.716,4.0,97,97.0,97,2,F minor,1987,0.0
1309,BTS Featuring Halsey,Boy With Luv | BTS Featuring Halsey,Boy With Luv,229.773,0.645,0.862,B,-4.757,minor,0.0965,0.0923,0.0,0.192,0.798,119.991,4.0,90,81.0,8,8,B minor,2019,0.0
1310,SaFire,"Boy, I've Been Told | SaFire","Boy, I've Been Told",375.386,0.7,0.623,E,-11.604,major,0.0516,0.000744,0.0109,0.0645,0.72,119.798,4.0,93,89.0,48,16,E major,1989,0.0
1311,Pleasure P,Boyfriend #2 | Pleasure P,Boyfriend #2,207.4,0.648,0.767,G#,-5.052,major,0.0608,0.0219,0.0,0.19,0.796,141.906,4.0,94,86.0,42,18,G# major,2009,0.0
1312,Big Time Rush,Boyfriend | Big Time Rush,Boyfriend,201.04,0.614,0.857,C#,-4.171,minor,0.111,0.0987,0.0,0.177,0.677,164.146,4.0,91,94.0,72,11,C# minor,2011,0.0
1313,Blake Shelton Featuring Pistol Annies & Friends,Boys 'round Here | Blake Shelton Featuring Pistol Annies & Friends,Boys 'round Here,288.76,0.611,0.688,D,-6.369,major,0.0529,0.251,2.35e-06,0.248,0.649,169.895,4.0,48,46.0,12,21,D major,2013,0.0
1314,Mario,Braid My Hair | Mario,Braid My Hair,247.266,0.687,0.619,F,-6.733,minor,0.0533,0.0829,0.0,0.188,0.449,134.037,4.0,100,89.0,74,8,F minor,2002,0.0
1315,Steve Holy,Brand New Girlfriend | Steve Holy,Brand New Girlfriend,220.186,0.669,0.861,D,-3.547,major,0.0929,0.0273,0.0,0.0586,0.72,133.82,4.0,94,88.0,40,20,D major,2006,0.0
1316,Melanie,Brand New Key | Melanie,Brand New Key,144.866,0.667,0.412,C#,-7.544,major,0.0353,0.817,0.0,0.107,0.82,83.816,4.0,24,14.0,1,18,C# major,1972,1.0
1317,Jigsaw,Brand New Love Affair | Jigsaw,Brand New Love Affair,212.72,0.742,0.637,E,-10.704,major,0.0446,0.208,2.32e-06,0.0885,0.92,110.091,4.0,66,68.0,66,7,E major,1976,0.0
1318,Dead Or Alive,Brand New Lover | Dead Or Alive,Brand New Lover,221.066,0.524,0.977,F#,-4.758,minor,0.128,0.0172,0.0,0.0681,0.368,116.783,4.0,98,82.0,15,22,F# minor,1987,0.0
1319,Ben Rector,Brand New | Ben Rector,Brand New,243.933,0.555,0.933,A,-5.04,major,0.113,0.0026,0.0,0.122,0.421,144.874,4.0,87,83.0,82,5,A major,2016,0.0
1320,Looking Glass,Brandy (You're A Fine Girl) | Looking Glass,Brandy (You're A Fine Girl),186.826,0.719,0.768,C#,-7.528,minor,0.0766,0.54,1.59e-05,0.146,0.772,125.315,4.0,33,23.0,1,16,C# minor,1972,1.0
1321,Scott English,Brandy | Scott English,Brandy,178.51,0.559,0.447,A#,-13.185,major,0.0303,0.708,2.35e-05,0.479,0.666,97.034,4.0,91,100.0,91,2,A# major,1972,0.0
1322,The O'Jays,Brandy | The O'Jays,Brandy,251.746,0.626,0.42,F,-11.815,major,0.0408,0.647,0.0,0.0926,0.443,140.998,4.0,79,80.0,79,3,F major,1978,0.0
1323,The String-A-Longs,Brass Buttons | The String-A-Longs,Brass Buttons,123.767,0.748,0.414,B,-12.931,major,0.0679,0.574,0.727,0.107,0.96,133.452,4.0,87,51.0,35,7,B major,1961,0.0
1324,Sara Bareilles,Brave | Sara Bareilles,Brave,220.573,0.551,0.836,A#,-3.838,minor,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,4.0,45,49.0,23,42,A# minor,2014,0.0
1325,The Ritchie Family,Brazil | The Ritchie Family,Brazil,312.2,0.623,0.875,G,-8.059,major,0.0494,0.0263,0.0125,0.184,0.741,125.48,4.0,50,33.0,11,18,G major,1975,0.0
1326,The Newbeats,Bread And Butter | The Newbeats,Bread And Butter,122.72,0.71,0.546,D,-14.582,major,0.0469,0.757,0.00981,0.152,0.897,82.182,4.0,28,23.0,2,12,D major,1964,0.0
1327,The Newbeats,Break Away (From That Boy) | The Newbeats,Break Away (From That Boy),150.906,0.6,0.362,A#,-14.238,major,0.0331,0.764,0.00201,0.108,0.62,122.754,4.0,50,50.0,40,7,A# major,1965,0.0
1328,Art Garfunkel,Break Away | Art Garfunkel,Break Away,215.573,0.546,0.271,E,-16.459,major,0.041,0.719,3.27e-06,0.108,0.442,102.524,4.0,51,52.0,39,11,E major,1976,0.0
1329,Tina Turner,Break Every Rule | Tina Turner,Break Every Rule,242.133,0.653,0.625,D#,-13.594,major,0.0285,0.00459,0.00256,0.0897,0.978,123.946,4.0,88,74.0,74,5,D# major,1987,0.0
1330,Burton Cummings,Break It To Them Gently | Burton Cummings,Break It To Them Gently,274.666,0.596,0.56,A#,-10.23,major,0.0297,0.176,0.0,0.095,0.526,135.355,4.0,85,85.0,85,5,A# major,1978,0.0
1331,Foreigner,Break It Up | Foreigner,Break It Up,253.64,0.625,0.753,D#,-4.745,minor,0.0291,0.168,0.0,0.474,0.639,122.979,4.0,97,68.0,26,13,D# minor,1982,0.0
1332,New Boyz Featuring Iyaz,Break My Bank | New Boyz Featuring Iyaz,Break My Bank,177.253,0.742,0.762,G#,-4.043,major,0.0575,0.0202,0.0,0.0921,0.367,91.009,4.0,87,79.0,68,11,G# major,2010,0.0
1333,Dua Lipa,Break My Heart | Dua Lipa,Break My Heart,221.82,0.73,0.729,E,-3.434,minor,0.0883,0.167,1.39e-06,0.349,0.467,113.013,4.0,50,44.0,13,32,E minor,2020,0.0
1334,Matthew Wilder,Break My Stride | Matthew Wilder,Break My Stride,184.48,0.917,0.588,A#,-11.047,major,0.0607,0.195,0.0,0.0914,0.828,110.077,4.0,95,91.0,5,29,A# major,1984,0.0
1335,Britney Spears,Break The Ice | Britney Spears,Break The Ice,196.053,0.712,0.911,F,-3.866,minor,0.0445,0.689,8.02e-06,0.107,0.85,117.533,4.0,87,71.0,43,17,F minor,2008,0.0
1336,Charli XCX,Break The Rules | Charli XCX,Break The Rules,203.907,0.676,0.926,C,-2.244,minor,0.0425,0.0305,0.000658,0.0771,0.818,124.019,4.0,91,94.0,91,3,C minor,2015,0.0
1337,Cole Swindell,Break Up In The End | Cole Swindell,Break Up In The End,199.693,0.507,0.372,C#,-8.433,major,0.0303,0.481,0.0,0.271,0.257,86.422,4.0,95,76.0,49,17,C# major,2018,0.0
1338,Cynthia,Break Up To Make Up | Cynthia,Break Up To Make Up,237.093,0.4,0.28,E,-13.412,major,0.0343,0.522,0.0,0.193,0.149,121.488,4.0,100,81.0,70,8,E major,1991,0.0
1339,The Stylistics,Break Up To Make Up | The Stylistics,Break Up To Make Up,239.84,0.583,0.301,E,-10.598,major,0.0243,0.883,0.0,0.334,0.337,79.364,3.0,73,53.0,5,14,E major,1973,0.0
1340,Old Dominion,Break Up With Him | Old Dominion,Break Up With Him,207.733,0.615,0.632,D#,-5.382,major,0.0374,0.0685,0.0,0.108,0.56,152.035,4.0,64,53.0,44,20,D# major,2015,0.0
1341,Del Shannon,Break Up | Del Shannon,Break Up,139.786,0.497,0.863,G,-5.291,major,0.0342,0.291,0.0,0.154,0.904,114.047,4.0,95,95.0,95,3,G major,1965,0.0
1342,Mario Featuring Gucci Mane & Sean Garrett,Break Up | Mario Featuring Gucci Mane & Sean Garrett,Break Up,249.026,0.44,0.517,C,-7.355,major,0.363,0.428,0.0,0.173,0.475,73.881,4.0,46,41.0,14,23,C major,2009,0.0
1343,Busta Rhymes,Break Ya Neck | Busta Rhymes,Break Ya Neck,231.24,0.82,0.809,E,-6.759,minor,0.251,0.443,0.00175,0.0613,0.737,83.011,4.0,64,53.0,26,20,E minor,2002,0.0
1344,The Delfonics,Break Your Promise | The Delfonics,Break Your Promise,184.506,0.333,0.506,G,-7.069,major,0.0299,0.799,0.0,0.0883,0.522,151.507,4.0,45,35.0,35,10,G major,1968,0.0
1345,Big Pig,Breakaway | Big Pig,Breakaway,218.333,0.782,0.673,C#,-10.088,major,0.0278,0.222,2.51e-05,0.271,0.5,119.949,4.0,93,72.0,60,10,C# major,1988,0.0
1346,Kelly Clarkson,Breakaway | Kelly Clarkson,Breakaway,237.0,0.446,0.701,A,-4.179,minor,0.0295,0.0298,8.89e-06,0.0931,0.394,159.958,3.0,50,42.0,6,46,A minor,2005,0.0
1347,Boz Scaggs,Breakdown Dead Ahead | Boz Scaggs,Breakdown Dead Ahead,273.866,0.597,0.753,G,-9.845,major,0.041,0.147,0.00103,0.327,0.438,146.321,4.0,92,60.0,15,14,G major,1980,0.0
1348,Fu-Schnickens,Breakdown | Fu-Schnickens,Breakdown,250.56,0.75,0.719,A,-8.469,major,0.211,0.256,0.0,0.341,0.694,97.82,4.0,94,82.0,67,20,A major,1995,0.0
1349,Tom Petty And The Heartbreakers,Breakdown | Tom Petty And The Heartbreakers,Breakdown,163.893,0.625,0.35,A,-8.395,minor,0.0436,0.398,6.76e-05,0.123,0.69,113.688,4.0,60,40.0,40,17,A minor,1978,0.0
1350,Outlaws,Breaker - Breaker | Outlaws,Breaker - Breaker,177.0,0.532,0.637,F,-8.006,major,0.0831,0.679,0.0,0.153,0.699,147.624,4.0,94,94.0,94,2,F major,1976,0.0
1351,The Script,Breakeven | The Script,Breakeven,261.426,0.63,0.698,A#,-4.51,major,0.0244,0.173,0.0,0.0789,0.529,94.023,4.0,50,50.0,12,43,A# major,2010,0.0
1352,Dusty Springfield,Breakfast In Bed | Dusty Springfield,Breakfast In Bed,177.96,0.371,0.421,A#,-12.079,major,0.0276,0.591,1.18e-06,0.0767,0.363,79.7,4.0,91,91.0,91,2,A# major,1969,0.0
1353,Al Jarreau,Breakin' Away | Al Jarreau,Breakin' Away,253.933,0.678,0.345,C#,-17.268,minor,0.0338,0.434,3.81e-05,0.254,0.564,71.69,4.0,87,43.0,43,10,C# minor,1982,0.0
1354,Balance,Breaking Away | Balance,Breaking Away,195.0,0.655,0.793,B,-5.588,major,0.0465,0.000875,0.0161,0.0631,0.932,134.006,4.0,94,77.0,22,17,B major,1981,0.0
1355,Linkin Park,Breaking The Habit | Linkin Park,Breaking The Habit,196.906,0.579,0.849,E,-5.218,minor,0.0303,0.108,0.0,0.0909,0.581,100.021,4.0,68,62.0,20,20,E minor,2004,0.0
1356,Jivin' Gene And The Jokers,Breaking Up Is Hard To Do | Jivin' Gene And The Jokers,Breaking Up Is Hard To Do,149.653,0.509,0.415,D,-10.234,major,0.0269,0.262,1.42e-05,0.191,0.604,112.228,3.0,69,82.0,69,4,D major,1959,0.0
1357,Lenny Welch,Breaking Up Is Hard To Do | Lenny Welch,Breaking Up Is Hard To Do,180.106,0.384,0.333,F,-12.567,major,0.0309,0.91,1.08e-05,0.117,0.348,104.993,3.0,54,40.0,34,10,F major,1970,0.0
1358,Neil Sedaka,Breaking Up Is Hard To Do | Neil Sedaka,Breaking Up Is Hard To Do,139.2,0.743,0.799,G#,-5.466,minor,0.0375,0.699,0.0,0.0635,0.965,116.112,4.0,55,18.0,8,14,G# minor,1976,0.0
1359,The Happenings,Breaking Up Is Hard To Do | The Happenings,Breaking Up Is Hard To Do,146.666,0.615,0.619,B,-8.13,minor,0.0364,0.574,1.87e-05,0.222,0.823,131.717,4.0,74,67.0,67,5,B minor,1968,0.0
1360,Three Days Grace,Break | Three Days Grace,Break,193.106,0.578,0.897,C,-3.906,major,0.0357,0.000666,0.0,0.0924,0.737,115.491,4.0,95,94.0,73,20,C major,2010,0.0
1361,Anna Nalick,Breathe (2 AM) | Anna Nalick,Breathe (2 AM),279.826,0.386,0.452,D,-7.715,major,0.0278,0.417,0.0,0.0881,0.287,169.837,3.0,92,78.0,45,34,D major,2006,0.0
1362,Toni Braxton,Breathe Again | Toni Braxton,Breathe Again,269.173,0.689,0.677,C,-6.36,major,0.0326,0.0704,0.0,0.0877,0.259,153.919,4.0,39,37.0,3,35,C major,1994,0.0
1363,Q-Tip,Breathe And Stop | Q-Tip,Breathe And Stop,243.866,0.881,0.83,G,-4.563,major,0.172,0.0144,0.00771,0.0626,0.765,98.793,4.0,96,82.0,71,5,G major,2000,0.0
1364,Mase Featuring P. Diddy,"Breathe, Stretch, Shake | Mase Featuring P. Diddy","Breathe, Stretch, Shake",197.276,0.531,0.712,A,-4.887,major,0.336,0.0666,0.0,0.399,0.648,101.43,4.0,96,89.0,28,16,A major,2004,0.0
