,performer,song_performer,song,track_duration_s,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,rank,last_week,peak_rank,weeks_on_board,key_signature,year,top_hit_pos
8425,Joe Simon,Pool Of Bad Luck | Joe Simon,Pool Of Bad Luck,195.733,0.632,0.462,G,-8.783,major,0.0359,0.72,0.0,0.101,0.617,112.267,4.0,45,42.0,42,8,G major,1972,0.0
8426,Casey Kelly,Poor Boy | Casey Kelly,Poor Boy,209.16,0.577,0.426,D,-15.943,major,0.0287,0.103,0.0167,0.207,0.813,135.291,4.0,56,52.0,52,9,D major,1972,0.0
8427,The Royaltones,Poor Boy | The Royaltones,Poor Boy,134.066,0.466,0.892,E,-5.208,minor,0.0583,0.926,0.552,0.2,0.77,76.606,4.0,83,68.0,17,17,E minor,1959,0.0
8428,MC Lyte,Poor Georgie | MC Lyte,Poor Georgie,270.093,0.837,0.688,A#,-7.307,minor,0.216,0.0332,0.0,0.0999,0.709,95.566,4.0,93,84.0,83,5,A# minor,1992,0.0
8429,The Everly Brothers,Poor Jenny | The Everly Brothers,Poor Jenny,134.133,0.631,0.498,A#,-14.539,major,0.0423,0.526,1.21e-06,0.0971,0.876,143.292,4.0,67,44.0,22,12,A# major,1959,0.0
8430,Cathy Carroll,Poor Little Puppet | Cathy Carroll,Poor Little Puppet,149.013,0.513,0.732,C#,-8.722,major,0.041,0.402,0.0,0.231,0.767,120.444,4.0,91,92.0,91,3,C# major,1962,0.0
8431,Survivor,Poor Man's Son | Survivor,Poor Man's Son,215.733,0.672,0.572,C,-12.617,minor,0.0612,0.48,5.89e-05,0.126,0.747,118.393,4.0,95,60.0,33,14,C minor,1982,0.0
8432,Linda Ronstadt,Poor Poor Pitiful Me | Linda Ronstadt,Poor Poor Pitiful Me,220.8,0.712,0.535,C#,-8.072,major,0.0295,0.0216,0.000174,0.0702,0.527,128.169,4.0,98,49.0,31,9,C# major,1978,0.0
8433,Al Wilson,Poor Side Of Town | Al Wilson,Poor Side Of Town,234.36,0.395,0.384,F#,-10.628,minor,0.0283,0.713,0.573,0.0978,0.571,80.653,4.0,82,75.0,75,4,F# minor,1969,0.0
8434,Alan Jackson,Pop A Top | Alan Jackson,Pop A Top,185.426,0.699,0.477,D,-9.339,major,0.031,0.291,0.0,0.164,0.83,118.382,4.0,100,95.0,43,16,D major,2000,0.0
8435,Jim Jones & Ron Browz Featuring Juelz Santana,Pop Champagne | Jim Jones & Ron Browz Featuring Juelz Santana,Pop Champagne,215.973,0.61,0.431,C,-6.73,major,0.294,0.03,0.0,0.099,0.463,136.878,3.0,60,53.0,22,20,C major,2009,0.0
8436,Anthony Newley,Pop Goes The Weasel | Anthony Newley,Pop Goes The Weasel,166.988,0.716,0.585,C,-8.331,major,0.294,0.637,0.0,0.239,0.84,101.24,4.0,88,85.0,85,4,C major,1962,0.0
8437,Men Without Hats,Pop Goes The World | Men Without Hats,Pop Goes The World,232.624,0.664,0.776,C,-10.832,major,0.0352,0.0145,0.0431,0.0563,0.83,146.0,4.0,100,90.0,20,21,C major,1988,0.0
8438,Prince And The Revolution,Pop Life | Prince And The Revolution,Pop Life,225.226,0.724,0.766,B,-12.28,major,0.0579,0.516,0.00959,0.409,0.642,100.611,4.0,90,59.0,7,14,B major,1985,0.0
8439,M,Pop Muzik | M,Pop Muzik,296.466,0.94,0.727,C#,-9.982,major,0.0358,0.124,0.00021,0.0808,0.969,110.796,4.0,100,59.0,1,24,C# major,1980,1.0
8440,Polo G Featuring Lil Tjay,Pop Out | Polo G Featuring Lil Tjay,Pop Out,166.56,0.772,0.639,C#,-7.119,major,0.467,0.15,0.0,0.0698,0.261,168.112,4.0,42,37.0,11,27,C# major,2019,0.0
8441,The Sherrys,Pop Pop Pop - Pie | The Sherrys,Pop Pop Pop - Pie,134.226,0.641,0.695,A#,-9.841,major,0.0304,0.0856,1.5e-05,0.177,0.965,132.627,4.0,45,35.0,35,8,A# major,1962,0.0
8442,"Marques Houston Featuring Jermaine ""JD"" Dupri","Pop That Booty | Marques Houston Featuring Jermaine ""JD"" Dupri",Pop That Booty,246.266,0.839,0.625,A,-5.699,major,0.15,0.0752,0.0,0.26,0.731,95.511,4.0,96,91.0,76,9,A major,2004,0.0
8443,The Isley Brothers,Pop That Thang | The Isley Brothers,Pop That Thang,172.76,0.717,0.655,B,-5.818,minor,0.125,0.274,0.0,0.11,0.877,158.636,4.0,55,32.0,24,15,B minor,1972,0.0
8444,Huey,"Pop, Lock & Drop It | Huey","Pop, Lock & Drop It",261.026,0.723,0.644,B,-6.863,minor,0.222,0.00308,0.0,0.352,0.645,144.09,4.0,46,33.0,6,23,B minor,2007,0.0
8445,Hot Butter,Popcorn | Hot Butter,Popcorn,151.44,0.784,0.626,B,-14.617,minor,0.0572,0.0425,0.703,0.0645,0.952,136.886,4.0,32,24.0,9,18,B minor,1972,0.0
8446,Three 6 Mafia,Poppin' My Collar | Three 6 Mafia,Poppin' My Collar,176.88,0.729,0.795,G,-4.579,major,0.144,0.354,0.0,0.536,0.856,146.747,4.0,97,75.0,21,16,G major,2006,0.0
8447,Chris Brown Featuring Jay Biz,Poppin' | Chris Brown Featuring Jay Biz,Poppin',265.333,0.767,0.419,A,-3.011,minor,0.0369,0.00895,0.0,0.0521,0.547,122.963,4.0,77,72.0,42,20,A minor,2007,0.0
8448,Michael Franks,Popsicle Toes | Michael Franks,Popsicle Toes,276.4,0.81,0.396,G,-15.91,major,0.0393,0.426,0.0136,0.0996,0.44,126.052,4.0,82,43.0,43,8,G major,1976,0.0
8449,The Murmaids,Popsicles And Icicles | The Murmaids,Popsicles And Icicles,151.4,0.64,0.339,D#,-8.08,major,0.0317,0.817,0.0,0.0883,0.664,124.0,4.0,50,28.0,3,14,D# major,1964,0.0
8450,The Monkees,Porpoise Song | The Monkees,Porpoise Song,160.319,0.32,0.448,A,-8.786,major,0.0275,0.309,0.35,0.263,0.261,64.426,4.0,62,62.0,62,6,A major,1968,0.0
8451,Kansas,Portrait (He Knew) | Kansas,Portrait (He Knew),276.026,0.462,0.75,C,-6.519,major,0.044,0.0253,6.18e-05,0.068,0.847,133.499,3.0,84,74.0,64,6,C major,1978,0.0
8452,Steve Lawrence,Portrait Of My Love | Steve Lawrence,Portrait Of My Love,175.613,0.343,0.31,C,-9.097,major,0.0269,0.851,0.000296,0.143,0.292,91.531,4.0,63,46.0,9,16,C major,1961,0.0
8453,The Tokens,Portrait Of My Love | The Tokens,Portrait Of My Love,140.546,0.388,0.465,A#,-9.708,minor,0.0301,0.524,0.0,0.0897,0.523,138.724,4.0,50,36.0,36,8,A# minor,1967,0.0
8454,Bob Dylan,Positively 4th Street | Bob Dylan,Positively 4th Street,247.866,0.556,0.463,F#,-10.79,major,0.0268,0.817,0.0,0.116,0.764,109.586,4.0,50,26.0,7,9,F# major,1965,0.0
8455,Daryl Hall John Oates,Possession Obsession | Daryl Hall John Oates,Possession Obsession,276.773,0.749,0.623,G,-6.427,minor,0.0271,0.127,3.25e-06,0.104,0.896,114.813,4.0,94,87.0,30,12,G minor,1985,0.0
8456,Bad English,Possession | Bad English,Possession,308.306,0.514,0.603,C#,-12.096,minor,0.03,0.117,0.0,0.117,0.371,99.985,4.0,92,80.0,21,17,C# minor,1990,0.0
8457,Sarah McLachlan,Possession | Sarah McLachlan,Possession,279.466,0.476,0.658,F#,-6.737,minor,0.0281,0.2,0.00155,0.0635,0.357,97.527,4.0,96,100.0,73,19,F# minor,1994,0.0
8458,Omarion Featuring Chris Brown & Jhene Aiko,Post To Be | Omarion Featuring Chris Brown & Jhene Aiko,Post To Be,226.58,0.733,0.676,A#,-5.655,minor,0.0432,0.0697,0.0,0.208,0.701,97.448,4.0,48,40.0,13,37,A# minor,2015,0.0
8459,Trick Pony,Pour Me | Trick Pony,Pour Me,172.0,0.484,0.905,A#,-3.993,major,0.135,0.0936,0.0,0.286,0.767,182.058,4.0,94,85.0,71,14,A# major,2001,0.0
8460,James Carr,Pouring Water On A Drowning Man | James Carr,Pouring Water On A Drowning Man,159.653,0.656,0.6,C,-7.818,major,0.0393,0.211,0.0,0.0936,0.663,111.237,4.0,85,89.0,85,4,C major,1966,0.0
8461,The Raiders,Powder Blue Mercedes Queen | The Raiders,Powder Blue Mercedes Queen,185.693,0.53,0.65,F#,-12.506,minor,0.0434,0.0101,0.0053,0.169,0.903,146.977,4.0,54,54.0,54,8,F# minor,1972,0.0
8462,"SZA, The Weeknd & Travis Scott","Power Is Power | SZA, The Weeknd & Travis Scott",Power Is Power,211.266,0.507,0.644,E,-7.485,major,0.0641,0.00413,0.0,0.217,0.172,179.913,4.0,90,92.0,90,2,E major,2019,0.0
8463,Air Supply,Power Of Love (You Are My Lady) | Air Supply,Power Of Love (You Are My Lady),325.04,0.473,0.631,D#,-8.448,major,0.0308,0.552,0.0038,0.109,0.178,144.032,4.0,98,96.0,68,6,D# major,1985,0.0
8464,Deee-Lite,Power Of Love | Deee-Lite,Power Of Love,281.76,0.66,0.669,A,-14.895,minor,0.0418,0.0214,0.0117,0.27,0.798,120.989,4.0,85,62.0,47,10,A minor,1991,0.0
8465,Joe Simon,Power Of Love | Joe Simon,Power Of Love,178.0,0.832,0.603,C,-7.922,major,0.0665,0.261,0.0,0.3,0.969,110.724,4.0,61,32.0,11,15,C major,1972,0.0
8466,Laura Branigan,Power Of Love | Laura Branigan,Power Of Love,325.253,0.408,0.581,G,-7.926,major,0.0365,0.436,0.000239,0.145,0.212,137.028,4.0,98,82.0,26,18,G major,1988,0.0
8467,Molly Hatchet,Power Play | Molly Hatchet,Power Play,224.4,0.56,0.713,A,-11.686,minor,0.0331,0.168,0.109,0.761,0.776,123.313,4.0,96,98.0,96,2,A minor,1982,0.0
8468,J. Cole Featuring Miguel,Power Trip | J. Cole Featuring Miguel,Power Trip,241.16,0.667,0.61,C#,-7.054,major,0.217,0.322,0.000203,0.426,0.465,99.991,4.0,47,42.0,19,29,C# major,2013,0.0
8469,Billy Falcon,Power Windows | Billy Falcon,Power Windows,244.373,0.716,0.568,A,-10.478,major,0.0293,0.0743,0.0,0.0536,0.393,103.027,4.0,94,75.0,35,14,A major,1991,0.0
8470,A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine) | A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),205.04,0.85,0.569,F,-8.152,minor,0.136,0.0609,0.0816,0.1,0.294,80.02,4.0,84,96.0,45,8,F minor,2018,0.0
8471,Beyonce,Pray You Catch Me | Beyonce,Pray You Catch Me,195.986,0.25,0.215,G#,-13.676,minor,0.037,0.632,0.0717,0.401,0.0746,174.824,3.0,70,37.0,37,2,G# minor,2016,0.0
8472,Matt Stell,Prayed For You | Matt Stell,Prayed For You,210.373,0.6,0.698,A,-5.86,major,0.0355,0.0724,1.64e-06,0.113,0.57,140.032,4.0,87,79.0,36,20,A major,2019,0.0
8473,Seal,Prayer For The Dying | Seal,Prayer For The Dying,330.266,0.306,0.762,F,-7.519,major,0.051,0.332,0.00605,0.0835,0.15,99.903,4.0,45,42.0,21,20,F major,1994,0.0
8474,Willie Mitchell,Prayer Meetin' | Willie Mitchell,Prayer Meetin',134.72,0.74,0.506,F#,-8.521,major,0.0496,0.609,0.864,0.0878,0.794,99.825,4.0,64,45.0,45,7,F# major,1968,0.0
8475,Disturbed,Prayer | Disturbed,Prayer,218.973,0.65,0.914,A,-4.672,major,0.0716,0.000642,1.23e-06,0.0251,0.586,99.107,4.0,87,82.0,58,20,A major,2003,0.0
8476,George Michael,Praying For Time | George Michael,Praying For Time,280.98,0.581,0.622,A#,-14.878,major,0.0354,0.0471,0.0162,0.0915,0.257,127.814,4.0,90,70.0,1,14,A# major,1990,1.0
8477,Kesha,Praying | Kesha,Praying,230.266,0.576,0.39,A#,-7.202,major,0.0297,0.491,0.0,0.111,0.319,73.433,4.0,35,26.0,22,21,A# major,2017,0.0
8478,Climax,Precious And Few | Climax,Precious And Few,164.653,0.203,0.401,A,-12.341,major,0.0339,0.434,0.0,0.1,0.17,201.467,4.0,31,20.0,3,15,A major,1972,0.0
8479,Collective Soul,Precious Declaration | Collective Soul,Precious Declaration,221.186,0.529,0.866,B,-5.053,major,0.0391,0.0321,0.00117,0.148,0.759,107.544,4.0,99,92.0,65,10,B major,1997,0.0
8480,Phil Seymour,Precious To Me | Phil Seymour,Precious To Me,171.16,0.698,0.867,B,-5.946,minor,0.0278,0.0184,0.0,0.102,0.956,129.549,4.0,94,76.0,22,16,B minor,1981,0.0
8481,Jackie Moore,"Precious, Precious | Jackie Moore","Precious, Precious",203.267,0.75,0.506,C#,-9.97,major,0.0654,0.433,3.33e-06,0.121,0.857,128.042,3.0,46,37.0,30,15,C# major,1971,0.0
8482,Depeche Mode,Precious | Depeche Mode,Precious,245.866,0.568,0.838,C#,-6.138,major,0.0266,0.0889,0.0567,0.0994,0.852,104.988,4.0,80,71.0,71,3,C# major,2005,0.0
8483,The Alarm,Presence Of Love | The Alarm,Presence Of Love,252.693,0.617,0.788,F,-9.397,minor,0.0304,0.0744,0.0,0.0477,0.584,121.017,4.0,100,83.0,77,6,F minor,1988,0.0
8484,YoungBloodZ,Presidential | YoungBloodZ,Presidential,241.12,0.682,0.523,D,-9.69,major,0.335,0.0237,0.0,0.18,0.366,170.049,4.0,86,93.0,81,12,D major,2006,0.0
8485,Cardi B,Press | Cardi B,Press,143.791,0.888,0.525,C#,-5.665,major,0.305,0.029,5.68e-06,0.137,0.243,133.983,4.0,90,84.0,16,16,C# major,2019,0.0
8486,Billy Joel,Pressure | Billy Joel,Pressure,280.333,0.548,0.68,A,-8.675,minor,0.0474,0.0148,0.000949,0.0877,0.851,148.494,4.0,93,93.0,20,17,A minor,1983,0.0
8487,Carl Mann,Pretend | Carl Mann,Pretend,158.973,0.577,0.376,G,-17.079,major,0.0402,0.883,2.37e-05,0.268,0.884,88.893,4.0,81,71.0,57,7,G major,1959,0.0
8488,Eric Clapton,Pretending | Eric Clapton,Pretending,283.28,0.602,0.872,A,-6.211,major,0.029,0.168,0.000705,0.0545,0.668,98.452,4.0,97,89.0,55,11,A major,1990,0.0
8489,Jefferson Airplane,Pretty As You Feel | Jefferson Airplane,Pretty As You Feel,269.586,0.49,0.292,C,-18.851,major,0.0429,0.755,0.00163,0.108,0.49,106.788,4.0,76,69.0,60,10,C major,1972,0.0
8490,Book Of Love,Pretty Boys And Pretty Girls | Book Of Love,Pretty Boys And Pretty Girls,289.135,0.511,0.935,G,-4.015,major,0.0422,0.00148,0.184,0.135,0.49,119.916,4.0,100,90.0,90,4,G major,1988,0.0
8491,Manfred Mann,Pretty Flamingo | Manfred Mann,Pretty Flamingo,150.106,0.553,0.594,G,-9.03,major,0.0279,0.114,0.0,0.743,0.841,113.506,4.0,40,29.0,29,8,G major,1966,0.0
8492,Jon B,Pretty Girl | Jon B,Pretty Girl,258.106,0.696,0.521,C,-9.32,major,0.0339,0.398,0.0,0.339,0.646,93.056,4.0,60,57.0,25,20,C major,1996,0.0
8493,Eugene Church and The Fellows,Pretty Girls Everywhere | Eugene Church and The Fellows,Pretty Girls Everywhere,174.6,0.637,0.693,G,-7.168,major,0.0356,0.714,1.23e-05,0.174,0.964,138.362,4.0,81,66.0,36,15,G major,1959,0.0
8494,Britney Spears & Iggy Azalea,Pretty Girls | Britney Spears & Iggy Azalea,Pretty Girls,163.96,0.834,0.831,G,-6.061,minor,0.0745,0.00799,0.0,0.217,0.788,103.009,4.0,97,81.0,29,8,G minor,2015,0.0
8495,Iyaz Featuring Travie McCoy,Pretty Girls | Iyaz Featuring Travie McCoy,Pretty Girls,223.506,0.647,0.749,G#,-5.019,major,0.0478,0.0386,0.0,0.298,0.659,76.84,4.0,97,72.0,43,14,G# major,2011,0.0
8496,Melissa Manchester,Pretty Girls | Melissa Manchester,Pretty Girls,233.08,0.687,0.918,C#,-4.767,major,0.0498,0.171,0.000586,0.33,0.859,122.725,4.0,74,59.0,39,10,C# major,1979,0.0
8497,Psychedelic Furs,Pretty In Pink | Psychedelic Furs,Pretty In Pink,238.106,0.386,0.916,D,-5.955,major,0.0741,0.105,0.00991,0.325,0.775,135.642,4.0,99,60.0,41,11,D major,1986,0.0
8498,Lighthouse,Pretty Lady | Lighthouse,Pretty Lady,243.933,0.43,0.803,F,-6.78,major,0.0495,0.256,1.85e-05,0.331,0.72,124.468,4.0,60,53.0,53,8,F major,1973,0.0
8499,Curtis Lee,Pretty Little Angel Eyes | Curtis Lee,Pretty Little Angel Eyes,153.666,0.644,0.533,E,-11.606,major,0.0566,0.322,0.0,0.0781,0.79,112.16,4.0,51,25.0,7,11,E major,1961,0.0
8500,Roy Orbison,Pretty Paper | Roy Orbison,Pretty Paper,164.226,0.416,0.215,G,-14.001,major,0.0291,0.806,0.0,0.387,0.413,80.363,3.0,43,26.0,15,7,G major,1964,0.0
8501,INXS,Pretty Vegas | INXS,Pretty Vegas,205.413,0.624,0.922,F,-4.536,minor,0.0604,0.00121,2.46e-05,0.0785,0.676,141.968,4.0,82,77.0,37,5,F minor,2005,0.0
8502,Maxwell,Pretty Wings | Maxwell,Pretty Wings,310.52,0.563,0.402,A,-10.496,major,0.0668,0.252,2.07e-06,0.0886,0.2,115.561,4.0,50,44.0,33,23,A major,2009,0.0
8503,Bad English,Price Of Love | Bad English,Price Of Love,286.04,0.348,0.444,A,-10.001,major,0.0288,0.0201,1.23e-05,0.0639,0.241,138.194,4.0,96,75.0,5,19,A major,1990,0.0
8504,Staind,Price To Play | Staind,Price To Play,215.266,0.41,0.922,C#,-1.906,minor,0.0499,3.1e-05,0.000343,0.189,0.327,109.511,4.0,100,87.0,66,10,C# minor,2003,0.0
8505,Lil Uzi Vert,Prices | Lil Uzi Vert,Prices,233.333,0.786,0.683,G,-5.397,major,0.205,0.173,0.0,0.706,0.57,126.002,4.0,95,25.0,25,2,G major,2020,0.0
8506,John Cafferty & The Beaver Brown Band,Pride & Passion | John Cafferty & The Beaver Brown Band,Pride & Passion,210.133,0.608,0.956,A,-5.083,major,0.0533,0.413,0.0986,0.309,0.707,147.778,4.0,94,75.0,66,7,A major,1989,0.0
8507,Motley Crue,Primal Scream | Motley Crue,Primal Scream,286.893,0.584,0.957,C,-4.952,major,0.0589,0.000363,0.00396,0.161,0.44,103.242,4.0,77,64.0,63,5,C major,1991,0.0
8508,The Alan Parsons Project,Prime Time | The Alan Parsons Project,Prime Time,303.346,0.798,0.633,D,-11.65,major,0.0355,0.0956,0.00027,0.0694,0.81,122.376,4.0,93,74.0,34,11,D major,1984,0.0
8509,Mondo Rock,Primitive Love Rites | Mondo Rock,Primitive Love Rites,290.471,0.486,0.962,G,-3.55,major,0.141,0.0024,0.00823,0.125,0.711,173.237,4.0,94,73.0,71,6,G major,1987,0.0
8510,O.C. Smith,Primrose Lane | O.C. Smith,Primrose Lane,175.026,0.573,0.687,G#,-8.725,major,0.0345,0.638,0.0,0.0403,0.788,130.119,4.0,86,86.0,86,3,G# major,1970,0.0
8511,Gene Pitney,Princess In Rags | Gene Pitney,Princess In Rags,157.266,0.696,0.531,C,-8.776,major,0.0315,0.513,0.0,0.0999,0.848,117.586,4.0,63,46.0,37,8,C major,1966,0.0
8512,Coldplay Featuring Rihanna,Princess Of China | Coldplay Featuring Rihanna,Princess Of China,239.215,0.425,0.69,C,-6.221,major,0.0351,0.00385,0.0154,0.287,0.233,84.99,4.0,90,82.0,20,12,C major,2012,0.0
8513,Warren Storm,Prisoner's Song | Warren Storm,Prisoner's Song,178.64,0.484,0.612,F,-14.031,major,0.0369,0.107,1.68e-05,0.241,0.863,149.793,4.0,90,81.0,81,2,F major,1958,0.0
8514,Chris Brown,Privacy | Chris Brown,Privacy,220.963,0.741,0.58,C,-7.741,major,0.378,0.153,0.0,0.109,0.428,97.092,4.0,97,91.0,62,17,C major,2017,0.0
8515,Tina Turner,Private Dancer | Tina Turner,Private Dancer,434.373,0.587,0.572,D,-9.656,major,0.0413,0.363,0.0871,0.0915,0.471,115.466,4.0,98,80.0,7,18,D major,1985,0.0
8516,Ricky Martin Featuring Meja,Private Emotion | Ricky Martin Featuring Meja,Private Emotion,241.0,0.51,0.726,C#,-7.0,major,0.0337,0.265,0.0,0.0911,0.489,146.553,4.0,89,78.0,67,5,C# major,2000,0.0
8517,Daryl Hall John Oates,Private Eyes | Daryl Hall John Oates,Private Eyes,217.2,0.85,0.938,A,-6.889,minor,0.0415,0.409,0.000346,0.0582,0.84,120.826,4.0,97,67.0,1,23,A minor,1982,1.0
8518,The B-52s,Private Idaho | The B-52s,Private Idaho,216.36,0.551,0.882,D,-6.808,major,0.0454,0.00724,1.13e-05,0.322,0.888,166.403,4.0,84,74.0,74,5,D major,1980,0.0
8519,LeAnn Rimes,Probably Wouldn't Be This Way | LeAnn Rimes,Probably Wouldn't Be This Way,217.946,0.613,0.426,D,-6.418,major,0.0289,0.516,0.0,0.131,0.129,129.644,4.0,92,84.0,54,14,D major,2005,0.0
8520,Mark Lindsay,Problem Child | Mark Lindsay,Problem Child,155.226,0.31,0.558,F,-9.366,major,0.0472,0.47,0.00182,0.208,0.474,174.195,4.0,80,82.0,80,4,F major,1971,0.0
8521,The Everly Brothers,Problems | The Everly Brothers,Problems,121.4,0.738,0.43,B,-10.93,major,0.0346,0.764,0.0,0.0863,0.867,128.132,4.0,77,58.0,2,15,B major,1959,0.0
8522,Lil Suzy,Promise Me | Lil Suzy,Promise Me,137.04,0.727,0.657,F,-9.577,minor,0.0359,0.000203,0.00114,0.0984,0.309,126.011,4.0,97,96.0,62,18,F minor,1995,0.0
8523,The Cover Girls,Promise Me | The Cover Girls,Promise Me,418.906,0.601,0.58,G#,-11.052,major,0.0296,0.0166,4.12e-06,0.0312,0.429,139.923,4.0,95,88.0,40,19,G# major,1988,0.0
8524,Ciara,Promise | Ciara,Promise,267.413,0.697,0.629,A,-5.757,major,0.0425,0.409,3.8e-06,0.0819,0.439,123.279,4.0,73,62.0,11,20,A major,2007,0.0
8525,Elvis Presley,Promised Land | Elvis Presley,Promised Land,173.786,0.478,0.915,A,-11.985,major,0.046,0.284,0.00947,0.47,0.932,192.084,4.0,64,49.0,14,13,A major,1975,0.0
8526,Jagged Edge,Promise | Jagged Edge,Promise,246.72,0.751,0.568,F,-5.431,minor,0.0872,0.136,0.0,0.0288,0.646,128.002,4.0,47,37.0,9,21,F minor,2001,0.0
8527,Kid Ink Featuring Fetty Wap,Promise | Kid Ink Featuring Fetty Wap,Promise,224.24,0.797,0.469,G#,-8.112,major,0.0646,0.0599,0.0,0.0753,0.481,103.057,4.0,100,89.0,57,14,G# major,2016,0.0
8528,Romeo Santos Featuring Usher,Promise | Romeo Santos Featuring Usher,Promise,252.253,0.764,0.739,C#,-6.422,major,0.0574,0.403,0.0,0.0821,0.77,132.995,4.0,97,89.0,83,9,C# major,2011,0.0
8529,Soul Asylum,Promises Broken | Soul Asylum,Promises Broken,194.586,0.472,0.475,E,-11.115,major,0.0311,0.138,3.04e-06,0.113,0.718,150.611,4.0,93,83.0,63,5,E major,1996,0.0
8530,Dionne Warwick,"Promises, Promises | Dionne Warwick","Promises, Promises",182.373,0.502,0.661,D,-8.645,major,0.04,0.476,1.96e-05,0.0296,0.853,146.851,4.0,35,23.0,19,9,D major,1968,0.0
8531,Naked Eyes,"Promises, Promises | Naked Eyes","Promises, Promises",225.84,0.746,0.895,F,-5.38,major,0.0657,0.102,0.00022,0.0594,0.746,115.691,4.0,99,85.0,11,20,F major,1983,0.0
8532,Barbra Streisand,Promises | Barbra Streisand,Promises,261.04,0.679,0.388,B,-15.87,major,0.0369,0.0372,0.000971,0.135,0.72,97.366,4.0,91,79.0,48,9,B major,1981,0.0
8533,Calvin Harris & Sam Smith,Promises | Calvin Harris & Sam Smith,Promises,213.309,0.781,0.768,B,-5.991,major,0.0394,0.0119,4.9100000000000004e-06,0.325,0.486,123.07,4.0,88,86.0,65,12,B major,2018,0.0
8534,Romeo Santos,Propuesta Indecente | Romeo Santos,Propuesta Indecente,235.133,0.757,0.632,D,-6.83,major,0.0549,0.499,0.0,0.0723,0.742,122.936,4.0,95,99.0,79,5,D major,2013,0.0
8535,Solomon Burke,Proud Mary | Solomon Burke,Proud Mary,202.266,0.765,0.486,D,-10.823,major,0.0493,0.242,0.014,0.139,0.739,120.384,4.0,60,45.0,45,7,D major,1969,0.0
8536,Brooks & Dunn,Proud Of The House We Built | Brooks & Dunn,Proud Of The House We Built,226.186,0.618,0.79,F#,-4.973,major,0.0445,0.0655,0.00641,0.11,0.545,119.987,4.0,98,90.0,57,15,F# major,2007,0.0
8537,Johnny Crawford,Proud | Johnny Crawford,Proud,138.666,0.28,0.696,F,-8.159,minor,0.066,0.797,5.11e-06,0.109,0.324,168.162,4.0,60,39.0,29,8,F minor,1963,0.0
8538,Bruce Springsteen,Prove It All Night | Bruce Springsteen,Prove It All Night,237.44,0.452,0.773,F#,-6.794,minor,0.0305,0.0163,2.83e-05,0.466,0.847,114.285,4.0,79,51.0,33,9,F# minor,1978,0.0
8539,David Pack,Prove Me Wrong | David Pack,Prove Me Wrong,261.266,0.56,0.65,F,-11.788,minor,0.0321,0.299,2.13e-05,0.112,0.926,161.929,4.0,98,95.0,95,3,F minor,1986,0.0
8540,Taylor Dayne,Prove Your Love | Taylor Dayne,Prove Your Love,206.186,0.399,0.971,D,-5.076,major,0.0515,0.338,1.9e-05,0.359,0.772,118.015,4.0,99,83.0,7,18,D major,1988,0.0
8541,Talking Heads,Psycho Killer | Talking Heads,Psycho Killer,261.413,0.721,0.521,D,-8.123,major,0.0612,0.0707,0.00552,0.127,0.942,123.118,4.0,100,92.0,92,5,D major,1978,0.0
8542,The Alan Parsons Project,Psychobabble | The Alan Parsons Project,Psychobabble,291.973,0.798,0.543,G#,-11.572,major,0.0464,0.466,0.000573,0.0708,0.811,119.845,4.0,100,87.0,57,10,G# major,1983,0.0
8543,"Peter, Paul & Mary","Puff (The Magic Dragon) | Peter, Paul & Mary",Puff (The Magic Dragon),206.866,0.507,0.088,A,-23.309,major,0.0343,0.51,0.0,0.0986,0.398,144.223,4.0,47,28.0,2,14,A major,1963,0.0
8544,Trina,Pull Over | Trina,Pull Over,194.025,0.955,0.768,C#,-5.54,minor,0.181,0.0134,0.0,0.308,0.741,125.04,4.0,100,96.0,93,4,C# minor,2000,0.0
8545,Patra,Pull Up To The Bumper | Patra,Pull Up To The Bumper,291.493,0.798,0.801,C#,-5.858,major,0.139,0.0773,0.000384,0.2,0.667,107.516,4.0,86,68.0,60,10,C# major,1995,0.0
8546,Mr. Vegas,Pull Up | Mr. Vegas,Pull Up,213.466,0.962,0.632,B,-4.7,minor,0.176,0.116,0.0,0.108,0.892,119.912,4.0,98,98.0,98,2,B minor,2004,0.0
8547,M/A/R/R/S,Pump Up The Volume | M/A/R/R/S,Pump Up The Volume,389.066,0.765,0.592,G,-15.658,major,0.0652,0.00102,0.583,0.0487,0.508,113.232,4.0,96,81.0,13,23,G major,1988,0.0
8548,Foster The People,Pumped Up Kicks | Foster The People,Pumped Up Kicks,239.6,0.733,0.71,F,-5.849,minor,0.0292,0.145,0.115,0.0956,0.965,127.975,4.0,49,42.0,3,40,F minor,2012,0.0
8549,Brand Nubian,Punks Jump Up To Get Beat Down | Brand Nubian,Punks Jump Up To Get Beat Down,265.8,0.859,0.719,C#,-12.815,minor,0.211,0.0423,0.000746,0.104,0.658,98.221,4.0,97,92.0,77,10,C# minor,1993,0.0
8550,The 5th Dimension,Puppet Man | The 5th Dimension,Puppet Man,176.586,0.53,0.687,G,-8.035,major,0.0274,0.297,2.13e-06,0.284,0.892,92.683,4.0,44,24.0,24,8,G major,1970,0.0
